iter	Passed	Remaining
0	55	55219
1	55	27722
2	55	18542
3	56	13949
4	56	11192
5	56	9356
6	56	8047
7	56	7061
8	57	6295
9	57	5682
10	57	5179
11	57	4765
12	58	4416
13	58	4112
14	58	3847
15	58	3615
16	59	3411
17	59	3230
18	59	3069
19	59	2921
20	59	2790
21	60	2670
22	60	2559
23	60	2459
24	60	2366
25	60	2281
26	61	2206
27	61	2134
28	61	2066
29	61	2002
30	62	1942
31	62	1885
32	62	1832
33	62	1782
34	62	1735
35	63	1690
36	63	1648
37	63	1608
38	63	1570
39	63	1534
40	64	1500
41	64	1467
42	64	1436
43	64	1406
44	64	1377
45	65	1350
46	65	1324
47	65	1299
48	65	1275
49	65	1252
50	66	1230
51	66	1208
52	66	1188
53	66	1168
54	66	1149
55	67	1131
56	67	1113
57	67	1096
58	67	1079
59	67	1063
60	68	1047
61	68	1033
62	68	1018
63	68	1004
64	68	990
65	69	977
66	69	964
67	69	950
68	69	938
69	69	926
70	69	915
71	70	904
72	70	893
73	70	882
74	70	872
75	70	862
76	71	853
77	71	843
78	71	834
79	71	825
80	71	816
81	72	808
82	72	800
83	72	792
84	72	783
85	72	775
86	73	767
87	73	759
88	73	752
89	73	745
90	73	738
91	74	731
92	74	724
93	74	718
94	74	711
95	74	705
96	75	698
97	75	692
98	75	686
99	75	680
100	75	674
101	75	668
102	76	662
103	76	657
104	76	651
105	76	646
106	76	641
107	77	636
108	77	631
109	77	626
110	77	622
111	77	617
112	78	613
113	78	608
114	78	604
115	78	599
116	78	595
117	79	590
118	79	586
119	79	581
120	79	577
121	79	573
122	79	569
123	80	565
124	80	561
125	80	557
126	80	553
127	80	549
128	80	545
129	81	542
130	81	539
131	81	535
132	81	532
133	81	528
134	82	525
135	82	522
136	82	519
137	83	519
138	83	516
139	83	513
140	83	510
141	83	507
142	84	504
143	84	501
144	84	498
145	84	495
146	84	492
147	85	490
148	85	487
149	85	484
150	85	481
151	85	479
152	86	476
153	86	474
154	86	471
155	86	469
156	86	467
157	87	464
158	87	462
159	87	459
160	87	457
161	87	455
162	88	452
163	88	450
164	88	448
165	88	445
166	88	443
167	89	441
168	89	438
169	89	436
170	89	434
171	89	432
172	89	430
173	90	427
174	90	426
175	90	424
176	90	422
177	90	419
178	91	418
179	91	416
180	91	413
181	91	411
182	91	409
183	91	407
184	92	405
185	92	404
186	92	402
187	92	400
188	92	398
189	93	397
190	93	395
191	93	393
192	93	392
193	93	390
194	94	389
195	94	387
196	94	385
197	94	383
198	94	382
199	95	380
200	95	378
201	95	377
202	95	375
203	95	373
204	96	372
205	96	370
206	96	369
207	96	367
208	96	366
209	96	364
210	97	363
211	97	361
212	97	360
213	97	358
214	97	357
215	98	355
216	98	354
217	98	353
218	98	351
219	98	350
220	99	349
221	99	347
222	99	346
223	99	345
224	99	343
225	99	342
226	100	340
227	100	339
228	100	338
229	100	336
230	100	335
231	101	334
232	101	333
233	101	331
234	101	330
235	101	329
236	101	328
237	102	327
238	102	325
239	102	324
240	102	323
241	103	322
242	103	321
243	103	320
244	103	319
245	103	318
246	104	317
247	104	316
248	104	315
249	104	314
250	104	313
251	105	311
252	105	310
253	105	309
254	105	308
255	106	308
256	106	307
257	106	306
258	106	305
259	106	304
260	107	303
261	107	302
262	107	301
263	107	299
264	107	298
265	107	297
266	108	296
267	108	295
268	108	294
269	108	293
270	108	292
271	108	291
272	109	290
273	109	289
274	109	288
275	110	290
276	110	289
277	111	288
278	111	287
279	111	286
280	111	285
281	111	284
282	112	283
283	112	282
284	112	281
285	112	281
286	112	280
287	112	279
288	113	278
289	113	277
290	113	276
291	113	275
292	113	274
293	113	273
294	114	272
295	114	272
296	114	271
297	115	272
298	116	272
299	116	271
300	116	270
301	116	269
302	116	268
303	116	267
304	117	266
305	117	265
306	117	264
307	117	264
308	117	263
309	117	262
310	118	261
311	118	260
312	118	259
313	118	259
314	118	258
315	119	257
316	119	257
317	119	256
318	119	255
319	119	254
320	120	253
321	120	253
322	121	255
323	122	254
324	122	253
325	122	253
326	122	252
327	122	251
328	122	250
329	123	250
330	123	249
331	123	248
332	123	247
333	123	247
334	124	246
335	124	245
336	124	244
337	124	244
338	124	243
339	124	242
340	125	241
341	125	241
342	125	240
343	125	239
344	125	238
345	125	238
346	126	237
347	126	236
348	126	235
349	126	235
350	126	234
351	127	233
352	127	233
353	127	232
354	127	231
355	127	230
356	127	230
357	128	229
358	128	228
359	128	228
360	128	227
361	128	226
362	128	226
363	129	225
364	129	224
365	129	224
366	129	223
367	129	222
368	129	222
369	130	221
370	130	220
371	130	220
372	130	219
373	130	218
374	130	218
375	131	217
376	131	216
377	131	216
378	131	215
379	131	214
380	131	214
381	132	213
382	132	213
383	132	212
384	132	211
385	132	211
386	132	210
387	133	209
388	133	209
389	133	208
390	133	208
391	133	207
392	133	206
393	134	206
394	134	205
395	134	205
396	134	204
397	134	203
398	135	203
399	135	202
400	135	202
401	135	201
402	135	201
403	135	200
404	136	199
405	136	199
406	136	198
407	136	198
408	136	197
409	136	196
410	137	196
411	137	195
412	137	195
413	137	194
414	137	194
415	137	193
416	138	193
417	138	192
418	138	191
419	138	191
420	138	190
421	138	190
422	139	189
423	139	189
424	139	188
425	139	188
426	139	187
427	139	186
428	140	186
429	140	185
430	140	185
431	140	184
432	140	184
433	140	183
434	141	183
435	141	182
436	141	182
437	141	181
438	141	181
439	141	180
440	142	180
441	142	179
442	142	179
443	142	178
444	142	178
445	142	177
446	143	177
447	143	176
448	143	176
449	143	175
450	143	175
451	143	174
452	144	174
453	144	173
454	144	173
455	144	172
456	144	172
457	144	171
458	145	171
459	145	170
460	145	170
461	145	169
462	145	169
463	145	168
464	146	168
465	146	167
466	146	167
467	146	166
468	146	166
469	146	165
470	147	165
471	147	164
472	147	164
473	147	163
474	147	163
475	147	162
476	148	162
477	148	161
478	148	161
479	148	161
480	148	160
481	148	160
482	149	159
483	149	159
484	149	158
485	149	158
486	149	157
487	150	157
488	150	156
489	150	156
490	150	156
491	150	155
492	150	155
493	151	154
494	151	154
495	151	153
496	151	153
497	151	153
498	152	152
499	152	152
500	152	151
501	152	151
502	152	150
503	152	150
504	153	149
505	153	149
506	153	149
507	153	148
508	153	148
509	153	147
510	154	147
511	154	146
512	154	146
513	154	146
514	154	145
515	154	145
516	155	144
517	155	144
518	155	143
519	155	143
520	155	143
521	155	142
522	156	142
523	156	141
524	156	141
525	156	141
526	156	140
527	156	140
528	157	139
529	157	139
530	157	139
531	157	138
532	157	138
533	157	137
534	158	137
535	158	136
536	158	136
537	158	136
538	158	135
539	158	135
540	159	134
541	159	134
542	159	134
543	159	133
544	159	133
545	159	132
546	159	132
547	160	132
548	160	131
549	160	131
550	160	130
551	160	130
552	160	130
553	161	129
554	161	129
555	161	128
556	161	128
557	161	128
558	162	127
559	162	127
560	162	127
561	162	126
562	162	126
563	163	126
564	163	125
565	163	125
566	163	124
567	163	124
568	163	124
569	164	123
570	164	123
571	164	123
572	164	122
573	164	122
574	164	121
575	165	121
576	165	121
577	165	120
578	165	120
579	165	120
580	165	119
581	166	119
582	166	118
583	166	118
584	166	118
585	166	117
586	166	117
587	167	117
588	167	116
589	167	116
590	167	116
591	167	115
592	167	115
593	168	114
594	168	114
595	168	114
596	168	113
597	168	113
598	168	113
599	169	112
600	169	112
601	169	112
602	169	111
603	169	111
604	169	110
605	170	110
606	170	110
607	170	109
608	170	109
609	170	109
610	171	108
611	171	108
612	171	108
613	171	107
614	171	107
615	181	113
616	182	113
617	182	112
618	182	112
619	182	111
620	182	111
621	183	111
622	183	110
623	183	110
624	183	110
625	183	109
626	183	109
627	184	109
628	184	108
629	184	108
630	184	107
631	184	107
632	184	107
633	185	106
634	185	106
635	185	106
636	185	105
637	185	105
638	186	105
639	186	104
640	186	104
641	186	104
642	186	103
643	186	103
644	187	102
645	187	102
646	187	102
647	187	101
648	187	101
649	187	101
650	188	100
651	188	100
652	188	100
653	188	99
654	188	99
655	188	99
656	189	98
657	189	98
658	189	98
659	189	97
660	189	97
661	190	97
662	190	96
663	190	96
664	190	95
665	190	95
666	190	95
667	191	94
668	191	94
669	191	94
670	191	93
671	191	93
672	192	93
673	192	92
674	192	92
675	192	92
676	192	91
677	192	91
678	193	91
679	193	90
680	193	90
681	193	90
682	193	89
683	193	89
684	194	89
685	194	88
686	194	88
687	194	88
688	194	87
689	195	87
690	195	87
691	195	86
692	195	86
693	195	86
694	195	85
695	196	85
696	196	85
697	196	85
698	196	84
699	196	84
700	197	84
701	197	83
702	197	83
703	197	83
704	197	82
705	197	82
706	198	82
707	198	81
708	198	81
709	198	81
710	199	80
711	199	80
712	199	80
713	199	79
714	199	79
715	199	79
716	200	78
717	200	78
718	200	78
719	200	78
720	200	77
721	200	77
722	201	77
723	201	76
724	201	76
725	201	76
726	201	75
727	202	75
728	202	75
729	202	74
730	202	74
731	202	74
732	202	73
733	203	73
734	203	73
735	203	72
736	203	72
737	203	72
738	203	72
739	204	71
740	204	71
741	204	71
742	204	70
743	204	70
744	204	70
745	205	69
746	205	69
747	205	69
748	205	68
749	205	68
750	206	68
751	206	68
752	206	67
753	206	67
754	206	67
755	206	66
756	207	66
757	207	66
758	207	65
759	207	65
760	207	65
761	208	64
762	208	64
763	208	64
764	208	64
765	208	63
766	208	63
767	209	63
768	209	62
769	209	62
770	209	62
771	209	61
772	209	61
773	211	61
774	212	61
775	212	61
776	212	60
777	212	60
778	212	60
779	212	60
780	213	59
781	213	59
782	213	59
783	213	58
784	213	58
785	214	58
786	214	57
787	214	57
788	214	57
789	214	57
790	215	56
791	215	56
792	215	56
793	215	55
794	215	55
795	215	55
796	216	55
797	216	54
798	216	54
799	216	54
800	216	53
801	217	53
802	217	53
803	217	52
804	217	52
805	217	52
806	217	52
807	218	51
808	218	51
809	218	51
810	218	50
811	218	50
812	219	50
813	219	50
814	219	49
815	219	49
816	219	49
817	219	48
818	220	48
819	220	48
820	220	48
821	220	47
822	220	47
823	221	47
