iter	Passed	Remaining
0	57	57592
1	57	28878
2	58	19306
3	58	14515
4	58	11642
5	58	9729
6	58	8364
7	59	7340
8	59	6542
9	59	5904
10	59	5382
11	60	4946
12	60	4578
13	60	4262
14	60	3988
15	60	3748
16	61	3536
17	61	3348
18	61	3182
19	61	3030
20	62	2893
21	62	2768
22	62	2653
23	62	2549
24	62	2453
25	63	2364
26	63	2282
27	63	2206
28	63	2134
29	64	2070
30	64	2008
31	64	1950
32	64	1894
33	64	1842
34	65	1793
35	65	1747
36	65	1704
37	65	1662
38	65	1623
39	66	1586
40	66	1551
41	66	1516
42	66	1484
43	66	1454
44	67	1424
45	67	1396
46	67	1370
47	67	1344
48	68	1319
49	68	1295
50	68	1272
51	68	1250
52	68	1229
53	68	1208
54	69	1188
55	69	1169
56	69	1151
57	69	1133
58	69	1116
59	70	1099
60	70	1084
61	70	1068
62	70	1053
63	71	1039
64	71	1024
65	71	1011
66	71	997
67	71	984
68	72	972
69	72	959
70	72	947
71	72	936
72	72	925
73	73	914
74	73	903
75	73	892
76	73	882
77	73	872
78	74	862
79	74	853
80	74	844
81	74	835
82	74	825
83	74	816
84	75	808
85	75	800
86	75	792
87	75	784
88	75	776
89	76	769
90	76	762
91	76	754
92	76	747
93	76	740
94	77	734
95	77	727
96	77	720
97	77	714
98	77	708
99	78	702
100	78	695
101	78	690
102	78	684
103	78	678
104	79	675
105	79	670
106	79	665
107	79	660
108	80	655
109	80	650
110	80	645
111	80	640
112	80	635
113	81	631
114	81	626
115	81	622
116	81	617
117	81	612
118	82	608
119	82	604
120	82	599
121	82	595
122	82	591
123	83	587
124	83	583
125	83	579
126	83	575
127	83	571
128	84	567
129	84	563
130	84	560
131	84	556
132	84	553
133	85	549
134	85	546
135	85	542
136	85	539
137	85	536
138	86	533
139	86	530
140	86	527
141	86	524
142	86	521
143	87	518
144	87	515
145	87	512
146	87	509
147	87	506
148	88	503
149	88	500
150	88	498
151	88	495
152	88	492
153	89	489
154	89	487
155	89	484
156	89	482
157	89	479
158	90	476
159	90	474
160	90	471
161	90	469
162	90	466
163	91	464
164	91	462
165	91	461
166	91	458
167	92	456
168	92	454
169	92	452
170	92	450
171	93	448
172	93	446
173	93	443
174	93	441
175	93	439
176	94	437
177	94	435
178	94	433
179	94	431
180	94	429
181	95	427
182	95	425
183	95	423
184	95	421
185	95	419
186	96	417
187	96	415
188	96	413
189	96	412
190	96	410
191	97	408
192	97	406
193	97	404
194	97	402
195	97	401
196	98	399
197	98	397
198	98	396
199	98	394
200	98	392
201	98	391
202	99	389
203	99	387
204	99	386
205	99	384
206	99	383
207	100	381
208	100	380
209	100	378
210	100	377
211	101	375
212	101	374
213	101	372
214	101	371
215	101	369
216	102	368
217	102	367
218	102	365
219	102	364
220	102	362
221	103	361
222	103	359
223	103	358
224	103	357
225	103	355
226	104	354
227	104	353
228	104	351
229	104	350
230	104	348
231	105	347
232	105	346
233	105	345
234	105	343
235	105	342
236	105	341
237	106	339
238	106	338
239	106	337
240	106	336
241	106	334
242	107	333
243	107	332
244	107	331
245	107	330
246	107	329
247	108	327
248	108	326
249	108	325
250	108	324
251	108	323
252	109	322
253	109	321
254	109	320
255	109	319
256	110	318
257	110	317
258	110	316
259	110	315
260	110	313
261	111	312
262	111	311
263	111	310
264	111	309
265	111	308
266	112	307
267	112	306
268	112	305
269	112	304
270	112	303
271	113	302
272	113	301
273	113	300
274	113	299
275	113	298
276	113	297
277	114	296
278	114	295
279	114	294
280	114	293
281	114	292
282	115	291
283	115	290
284	115	290
285	115	289
286	116	288
287	116	287
288	116	286
289	116	285
290	116	284
291	117	283
292	117	282
293	117	282
294	117	281
295	118	280
296	118	279
297	118	279
298	118	278
299	118	277
300	119	276
301	119	275
302	119	274
303	119	273
304	119	273
305	120	272
306	120	271
307	120	270
308	120	269
309	120	269
310	121	268
311	121	267
312	121	266
313	121	265
314	121	265
315	122	264
316	122	263
317	122	262
318	122	261
319	122	260
320	122	260
321	123	259
322	123	258
323	123	257
324	123	257
325	123	256
326	124	255
327	124	254
328	124	254
329	124	253
330	124	252
331	125	251
332	125	251
333	125	250
334	125	249
335	125	248
336	126	248
337	126	247
338	126	246
339	126	246
340	126	245
341	127	244
342	127	243
343	127	243
344	127	242
345	128	241
346	128	241
347	128	240
348	128	239
349	128	239
350	128	238
351	129	237
352	129	237
353	129	236
354	129	235
355	129	235
356	130	234
357	130	233
358	130	233
359	130	232
360	130	231
361	131	231
362	131	230
363	131	229
364	131	229
365	131	228
366	132	227
367	132	227
368	132	226
369	132	226
370	132	225
371	133	224
372	133	224
373	133	223
374	133	223
375	134	222
376	134	221
377	134	221
378	134	220
379	134	219
380	135	219
381	135	218
382	135	218
383	135	217
384	135	216
385	135	216
386	136	215
387	136	215
388	136	214
389	136	213
390	136	213
391	137	212
392	137	212
393	137	211
394	137	210
395	137	210
396	138	209
397	138	209
398	138	208
399	138	207
400	138	207
401	138	206
402	139	206
403	139	205
404	139	205
405	139	204
406	139	203
407	140	203
408	140	202
409	140	202
410	140	201
411	140	201
412	141	200
413	141	200
414	141	199
415	141	199
416	141	198
417	142	197
418	142	197
419	142	196
420	142	196
421	142	195
422	143	195
423	143	194
424	143	194
425	143	193
426	143	193
427	144	192
428	144	192
429	144	191
430	144	191
431	144	190
432	145	190
433	146	190
434	146	189
435	146	189
436	146	188
437	146	188
438	147	187
439	147	187
440	147	186
441	147	186
442	147	185
443	148	185
444	148	184
445	148	184
446	148	183
447	148	183
448	149	182
449	149	182
450	149	182
451	149	181
452	149	181
453	150	180
454	150	180
455	150	179
456	150	179
457	151	178
458	151	178
459	151	177
460	151	177
461	151	176
462	151	176
463	152	175
464	152	175
465	152	174
466	152	174
467	153	173
468	153	173
469	153	173
470	153	172
471	153	172
472	153	171
473	154	171
474	154	170
475	154	170
476	154	169
477	154	169
478	155	168
479	155	168
480	155	167
481	155	167
482	155	166
483	156	166
484	156	166
485	156	165
486	156	165
487	156	164
488	157	164
489	157	163
490	157	163
491	157	162
492	157	162
493	158	161
494	158	161
495	158	161
496	158	160
497	158	160
498	159	159
499	159	159
500	159	158
501	159	158
502	159	157
503	160	157
504	160	157
505	160	156
506	160	156
507	160	155
508	160	155
509	161	154
510	161	154
511	161	154
512	161	153
513	162	153
514	162	152
515	162	152
516	162	151
517	162	151
518	163	151
519	163	150
520	163	150
521	163	149
522	163	149
523	164	149
524	164	148
525	164	148
526	164	147
527	164	147
528	165	147
529	165	146
530	165	146
531	165	145
532	165	145
533	165	144
534	166	144
535	166	144
536	166	143
537	166	143
538	167	142
539	167	142
540	167	142
541	167	141
542	167	141
543	167	140
544	168	140
545	168	140
546	168	139
547	168	139
548	168	138
549	169	138
550	169	138
551	169	137
552	169	137
553	169	136
554	170	136
555	170	136
556	170	135
557	170	135
558	170	134
559	171	134
560	171	134
561	171	133
562	171	133
563	171	132
564	172	132
565	172	132
566	172	131
567	172	131
568	172	130
569	173	130
570	173	130
571	173	129
572	173	129
573	173	129
574	174	128
575	174	128
576	174	127
577	174	127
578	174	127
579	175	126
580	175	126
581	175	125
582	175	125
583	175	125
584	176	124
585	176	124
586	176	124
587	176	123
588	176	123
589	176	122
590	177	122
591	177	122
592	177	121
593	177	121
594	177	121
595	178	120
596	178	120
597	178	120
598	178	119
599	178	119
600	179	118
601	179	118
602	179	118
603	179	117
604	179	117
605	180	117
606	180	116
607	180	116
608	180	115
609	180	115
610	181	115
611	181	114
612	181	114
613	181	114
614	181	113
615	182	113
616	182	113
617	182	113
618	183	112
619	183	112
620	183	111
621	183	111
622	183	111
623	184	110
624	184	110
625	184	110
626	184	109
627	184	109
628	185	109
629	185	108
630	185	108
631	185	108
632	186	107
633	186	107
634	186	107
635	186	106
636	186	106
637	186	106
638	187	105
639	187	105
640	187	105
641	187	104
642	187	104
643	188	103
644	188	103
645	188	103
646	188	102
647	188	102
648	188	102
649	189	101
650	189	101
651	189	101
652	189	100
653	189	100
654	190	100
655	190	99
656	190	99
657	190	99
658	190	98
659	191	98
660	191	98
661	191	97
662	191	97
663	191	97
664	192	96
665	192	96
666	192	96
667	192	95
668	192	95
669	192	95
670	193	94
671	193	94
672	193	94
673	193	93
674	193	93
675	194	93
676	194	92
677	194	92
678	194	92
679	194	91
680	195	91
681	195	91
682	195	90
683	195	90
684	195	90
685	196	89
686	196	89
687	196	89
688	196	88
689	197	88
690	197	88
691	197	87
692	197	87
693	197	87
694	198	86
695	198	86
696	198	86
697	198	85
698	198	85
699	198	85
700	199	84
701	199	84
702	199	84
703	199	83
704	199	83
705	200	83
706	200	83
707	200	82
708	200	82
709	200	82
710	200	81
711	201	81
712	201	81
713	201	80
714	201	80
715	201	80
716	202	79
717	202	79
718	202	79
719	202	78
720	202	78
721	202	78
722	203	77
723	203	77
724	203	77
725	203	76
726	203	76
727	204	76
728	204	75
729	204	75
730	204	75
731	204	75
732	205	74
733	205	74
734	205	74
735	205	73
736	205	73
737	206	73
738	206	72
739	206	72
740	206	72
741	206	71
742	207	71
743	207	71
744	207	71
745	207	70
746	207	70
747	208	70
748	208	69
749	208	69
750	208	69
751	208	68
752	209	68
753	209	68
754	209	68
755	209	67
756	210	67
757	210	67
758	210	66
759	210	66
760	210	66
761	211	65
762	211	65
763	211	65
764	211	65
765	211	64
766	212	64
767	212	64
768	212	63
769	212	63
770	213	63
771	213	62
772	213	62
773	213	62
774	213	62
775	214	61
776	214	61
777	214	61
778	214	60
779	214	60
780	215	60
781	215	60
782	215	59
783	215	59
784	215	59
785	216	58
786	216	58
787	216	58
788	216	57
789	216	57
790	217	57
791	217	57
792	217	56
793	217	56
794	217	56
795	218	55
796	218	55
797	218	55
798	218	54
799	218	54
800	219	54
801	219	54
802	219	53
803	219	53
804	219	53
805	219	52
806	220	52
807	220	52
808	220	52
809	220	51
810	221	51
811	221	51
812	221	50
813	221	50
814	221	50
815	221	50
816	222	49
817	222	49
818	222	49
819	222	48
820	222	48
821	223	48
822	223	48
823	223	47
824	223	47
825	223	47
826	224	46
827	224	46
828	224	46
829	224	46
830	224	45
831	225	45
832	225	45
833	225	44
834	225	44
835	225	44
836	226	44
837	226	43
838	226	43
839	226	43
840	226	42
841	227	42
842	227	42
843	227	42
844	227	41
845	227	41
846	228	41
847	228	40
848	228	40
849	228	40
850	228	40
851	229	39
852	229	39
853	229	39
854	229	38
855	230	38
856	230	38
857	230	38
858	230	37
859	230	37
860	231	37
861	231	37
862	232	36
863	232	36
864	232	36
865	232	36
866	232	35
867	233	35
868	233	35
869	233	34
870	233	34
871	233	34
872	234	34
873	234	33
874	234	33
875	234	33
876	234	32
877	234	32
878	235	32
879	235	32
880	235	31
881	235	31
882	235	31
883	236	30
884	236	30
885	236	30
886	236	30
887	236	29
888	237	29
889	237	29
890	237	29
891	237	28
892	237	28
893	238	28
894	238	27
895	238	27
896	238	27
897	239	27
898	239	26
899	239	26
900	239	26
901	239	26
902	240	25
903	240	25
904	240	25
905	240	24
906	240	24
907	240	24
908	241	24
909	241	23
910	241	23
911	241	23
912	241	23
913	242	22
914	242	22
915	242	22
916	242	21
917	243	21
918	243	21
919	243	21
920	243	20
921	243	20
922	244	20
923	244	20
924	244	19
925	244	19
926	244	19
927	245	19
928	245	18
929	245	18
930	245	18
931	245	17
932	246	17
933	246	17
934	246	17
935	246	16
936	246	16
937	247	16
938	247	16
939	247	15
940	247	15
941	248	15
942	248	15
943	248	14
944	248	14
945	248	14
946	249	13
947	249	13
948	250	13
949	250	13
950	250	12
951	250	12
952	251	12
953	251	12
954	251	11
955	251	11
956	251	11
957	252	11
958	252	10
959	252	10
960	252	10
961	253	9
962	253	9
963	253	9
964	253	9
965	253	8
966	254	8
967	254	8
968	254	8
969	254	7
970	254	7
971	255	7
972	255	7
973	255	6
974	255	6
975	255	6
976	256	6
977	256	5
978	256	5
979	256	5
980	256	4
981	257	4
982	257	4
983	257	4
984	257	3
985	257	3
986	258	3
987	258	3
988	258	2
989	258	2
990	259	2
991	259	2
992	259	1
993	259	1
994	259	1
995	260	1
996	260	0
997	260	0
998	260	0
999	261	0
